City_ID,City,Country,Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Burgos,ES,clear sky,42.3394,-3.7079,82.81,47,0,12.66
149,Namibe,AO,clear sky,-15.1961,12.1522,76.73,47,10,5.61
150,Sao Felix Do Xingu,BR,clear sky,-6.6447,-51.995,65.64,84,10,1.48
151,Sainte-Anne-Des-Monts,CA,scattered clouds,49.124,-66.4924,44.47,93,35,6.91
152,Plettenberg Bay,ZA,few clouds,-34.0527,23.3716,65.01,50,21,4.88
153,Lucera,IT,clear sky,41.5082,15.3351,84.29,37,0,3.44
154,Belomorsk,RU,few clouds,64.5232,34.7668,40.48,50,17,9.46
155,San Pedro,PH,light intensity shower rain,14.35,121.0167,82.35,82,75,6.91
156,Adre,TD,broken clouds,13.4667,22.2,96.66,10,69,15.86
157,Abu Samrah,SY,broken clouds,35.3029,37.1841,85.48,21,84,18.48
158,Bedford,GB,clear sky,52.1346,-0.4663,69.24,52,0,12.66
159,Qeshm,IR,clear sky,26.9581,56.2719,96.67,47,0,6.85
160,Nizhnevartovsk,RU,clear sky,60.9344,76.5531,73.42,40,0,20.13
161,Mahebourg,MU,broken clouds,-20.4081,57.7,80.26,69,75,8.05
162,Bambous Virieux,MU,broken clouds,-20.3428,57.7575,80.22,69,75,8.05
163,Saint-Augustin,CA,overcast clouds,51.226,-58.6502,45.55,98,100,6.08
164,Harper,LR,light rain,4.375,-7.7169,77.79,75,100,6.96
165,Prainha,BR,broken clouds,-1.8,-53.48,71.02,98,52,2.39
166,Saint George,US,clear sky,37.1041,-113.5841,61.79,19,0,5.75
167,Bubaque,GW,broken clouds,11.2833,-15.8333,77.97,77,80,8.84
168,George Town,MY,few clouds,5.4112,100.3354,87.73,82,20,8.05
169,Belyy Yar,RU,clear sky,53.6039,91.3903,85.89,23,0,13.42
170,Anloga,GH,overcast clouds,5.7947,0.8973,78.8,79,100,10.04
171,Sept-Iles,CA,broken clouds,50.2001,-66.3821,45.12,98,75,3.0
172,Vestmannaeyjar,IS,clear sky,63.4427,-20.2734,52.79,62,0,13.8
173,Gao,ML,broken clouds,16.6362,1.637,95.76,23,73,13.56
174,Dzilam Gonzalez,MX,broken clouds,21.2833,-88.9333,79.0,84,75,7.14
175,Kaputa,ZM,light rain,-8.4689,29.6619,77.02,61,89,4.92
176,Ancud,CL,light rain,-41.8697,-73.8203,47.34,77,100,6.62
177,Ponta Do Sol,PT,scattered clouds,32.6667,-17.1,70.72,78,26,2.28
178,Sabha,LY,clear sky,27.0377,14.4283,83.5,10,0,8.43
179,Saint Anthony,US,overcast clouds,45.0205,-93.218,42.71,77,100,4.61
180,Macau,MO,few clouds,22.2006,113.5461,85.86,88,20,17.27
181,Lasa,IT,broken clouds,46.6166,10.7002,76.08,39,52,6.58
182,Hobyo,SO,overcast clouds,5.3505,48.5268,87.8,61,100,24.18
183,Eyl,SO,broken clouds,7.9803,49.8164,98.31,39,84,19.17
184,La Asuncion,VE,few clouds,11.0333,-63.8628,78.53,89,17,5.75
185,Camacupa,AO,broken clouds,-12.0167,17.4833,74.82,37,76,5.48
186,Chuy,UY,clear sky,-33.6971,-53.4616,47.53,90,2,4.07
187,Dudinka,RU,overcast clouds,69.4058,86.1778,38.62,100,100,1.12
188,Beyneu,KZ,overcast clouds,45.3167,55.2,73.47,32,100,21.0
