City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Bhinmal,IN,2022-05-19 03:14:52,25.0,72.25,89.04,45,0,9.91
90,Flic En Flac,MU,2022-05-19 03:14:52,-20.2742,57.3631,72.52,75,10,12.95
91,Donskoy,RU,2022-05-19 03:14:52,53.9711,38.3363,40.86,85,23,8.57
92,Aksu,CN,2022-05-19 03:14:53,41.1231,80.2644,77.54,21,80,4.29
93,Port Elizabeth,ZA,2022-05-19 03:14:53,-33.918,25.5701,65.32,85,97,3.0
94,Saldanha,ZA,2022-05-19 03:14:53,-33.0117,17.9442,57.97,75,11,10.94
95,Luebo,CD,2022-05-19 03:14:54,-5.35,21.4167,69.13,83,47,0.98
96,Takoradi,GH,2022-05-19 03:14:54,4.8845,-1.7554,78.82,87,32,9.08
97,Kruisfontein,ZA,2022-05-19 03:14:54,-34.0033,24.7314,59.88,85,100,6.78
98,Cervo,ES,2022-05-19 03:14:55,43.6702,-7.4101,56.97,87,77,2.46
99,Pangnirtung,CA,2022-05-19 03:14:17,66.1451,-65.7125,24.98,80,100,6.76
100,Albany,US,2022-05-19 03:13:46,42.6001,-73.9662,56.57,64,100,1.01
101,Touros,BR,2022-05-19 03:14:55,-5.1989,-35.4608,77.83,87,76,6.76
102,Bonthe,SL,2022-05-19 03:14:55,7.5264,-12.505,79.43,86,100,3.22
103,Mar Del Plata,AR,2022-05-19 03:12:02,-38.0023,-57.5575,47.95,75,16,2.77
104,Dingli,MT,2022-05-19 03:14:56,35.8614,14.3822,66.81,82,0,1.14
105,Joshimath,IN,2022-05-19 03:14:56,30.5667,79.5667,71.29,45,2,5.19
106,Kavaratti,IN,2022-05-19 03:14:56,10.5669,72.642,83.57,78,100,16.08
107,Caraz,PE,2022-05-19 03:14:57,-9.0486,-77.81,61.92,87,100,1.3
108,Vardo,NO,2022-05-19 03:14:57,70.3705,31.1107,33.78,69,100,23.02
109,Lewisporte,CA,2022-05-19 03:14:57,49.2499,-55.0482,51.55,87,3,8.68
110,Capinopolis,BR,2022-05-19 03:14:58,-18.6819,-49.5697,47.57,70,72,3.49
111,San Cristobal,VE,2022-05-19 03:14:58,7.7669,-72.225,66.38,99,100,2.71
112,Mosquera,CO,2022-05-19 03:13:15,4.7059,-74.2302,53.69,94,100,2.3
113,Karasjok,NO,2022-05-19 03:14:58,69.4719,25.5112,27.52,88,12,3.89
114,Iqaluit,CA,2022-05-19 03:14:59,63.7506,-68.5145,26.33,86,100,4.61
115,Gravdal,NO,2022-05-19 03:14:59,68.1214,13.5031,33.69,100,0,2.3
116,Victoria,HK,2022-05-19 03:12:54,22.2855,114.1577,82.45,51,99,5.99
117,Tahta,EG,2022-05-19 03:14:59,26.7693,31.5021,75.13,26,84,7.99
118,Matara,LK,2022-05-19 03:15:00,5.9485,80.5353,80.73,88,27,11.86
119,Narsaq,GL,2022-05-19 03:15:00,60.9167,-46.05,37.62,82,17,2.64
120,Bandarbeyla,SO,2022-05-19 03:15:00,9.4942,50.8122,83.52,63,95,20.45
121,Toro,CO,2022-05-19 03:15:01,4.6117,-76.0814,72.28,97,100,0.92
122,Bambous Virieux,MU,2022-05-19 03:15:01,-20.3428,57.7575,73.65,83,75,14.97
123,Marsh Harbour,BS,2022-05-19 03:15:02,26.5412,-77.0636,78.69,78,22,9.62
124,Savannah Bight,HN,2022-05-19 03:15:02,16.45,-85.85,82.29,79,33,17.81
125,Chuy,UY,2022-05-19 03:15:03,-33.6971,-53.4616,53.83,83,77,9.71
126,Geraldton,AU,2022-05-19 03:15:03,-28.7667,114.6,68.41,77,100,3.44
127,Carnarvon,AU,2022-05-19 03:15:04,-24.8667,113.6333,73.8,52,29,8.1
128,Keetmanshoop,NA,2022-05-19 03:15:04,-26.5833,18.1333,61.95,39,73,2.75
129,Saint-Philippe,RE,2022-05-19 03:15:05,-21.3585,55.7679,67.59,76,33,10.13
130,Honningsvag,NO,2022-05-19 03:15:05,70.9821,25.9704,35.35,64,100,11.5
131,Lerik,AZ,2022-05-19 03:15:05,38.7726,48.4128,49.64,74,0,3.47
132,Salalah,OM,2022-05-19 03:15:06,17.0151,54.0924,80.69,74,20,2.3
133,Sabratah,LY,2022-05-19 03:15:06,32.7933,12.4885,69.93,56,0,5.59
134,Coquimbo,CL,2022-05-19 03:13:16,-29.9533,-71.3436,55.13,94,75,6.91
135,Albania,AL,2022-05-19 03:15:07,41.0,20.0,55.0,51,0,9.98
136,Timon,BR,2022-05-19 03:15:07,-5.0942,-42.8367,80.38,89,0,3.44
137,Sinnamary,GF,2022-05-19 03:15:07,5.3833,-52.95,78.26,85,100,7.45
138,Magole,TZ,2022-05-19 03:15:08,-6.3667,37.3667,63.55,93,96,2.62
139,Kiruna,SE,2022-05-19 03:15:08,67.8557,20.2251,29.32,80,100,2.3
140,Torbay,CA,2022-05-19 03:15:09,47.6666,-52.7314,46.58,94,33,10.2
141,Shar,KZ,2022-05-19 03:15:09,49.5886,81.0453,75.04,37,43,13.6
142,Kisoro,UG,2022-05-19 03:15:09,-1.2854,29.685,54.57,93,100,3.78
143,Puri,IN,2022-05-19 03:15:10,19.8,85.85,88.32,77,53,15.88
144,Jalu,LY,2022-05-19 03:15:10,29.0331,21.5482,67.03,61,0,11.99
145,Goderich,CA,2022-05-19 03:12:40,43.7501,-81.7165,49.91,95,100,8.88
146,Saint-Francois,FR,2022-05-19 03:15:11,46.4154,3.9054,64.67,88,100,3.44
147,Rubtsovsk,RU,2022-05-19 03:15:11,51.5,81.25,74.17,40,100,9.24
148,Bengkulu,ID,2022-05-19 03:13:27,-3.8004,102.2655,83.77,67,25,2.68
149,Kashi,CN,2022-05-19 03:15:11,39.4547,75.9797,76.19,28,90,15.84
150,Tamandare,BR,2022-05-19 03:15:12,-8.7597,-35.1047,76.77,86,100,7.94
